per capita income,median household income,median family income,population,number of households,state_nums
32835,63356,75896,487469,185660,4
22148,43023,51705,28054,9628,4
32835,63356,75896,487469,185660,4
32835,63356,75896,487469,185660,4
32835,63356,75896,487469,185660,4
32835,63356,75896,487469,185660,4
32835,63356,75896,487469,185660,4
32835,63356,75896,487469,185660,4
32835,63356,75896,487469,185660,4
32835,63356,75896,487469,185660,4
32835,63356,75896,487469,185660,4
32835,63356,75896,487469,185660,4
32930,76544,86301,829017,267076,4
20208,45563,50884,939605,289811,4
20208,45563,50884,939605,289811,4
26739,55064,64154,1435207,517243,4
26739,55064,64154,1435207,517243,4
21332,54090,59294,2056915,603879,4
21332,54090,59294,2056915,603879,4
21332,54090,59294,2056915,603879,4
21332,54090,59294,2056915,603879,4
21332,54090,59294,2056915,603879,4
21332,54090,59294,2056915,603879,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
27749,55909,62237,9893481,3230383,4
26739,55064,64154,1435207,517243,4
26739,55064,64154,1435207,517243,4
26739,55064,64154,1435207,517243,4
26739,55064,64154,1435207,517243,4
20208,45563,50884,939605,289811,4
20208,45563,50884,939605,289811,4
21332,54090,59294,2056915,603879,4
21332,54090,59294,2056915,603879,4
27749,55909,62237,9893481,3230383,4
21332,54090,59294,2056915,603879,4
29329,55295,68401,45147,18702,4
27749,55909,62237,9893481,3230383,4
20208,45563,50884,939605,289811,4
29329,55295,68401,45147,18702,4
26739,55064,64154,1435207,517243,4
26739,55064,64154,1435207,517243,4
26739,55064,64154,1435207,517243,4
26739,55064,64154,1435207,517243,4
26739,55064,64154,1435207,517243,4
26739,55064,64154,1435207,517243,4
26739,55064,64154,1435207,517243,4
26739,55064,64154,1435207,517243,4
26739,55064,64154,1435207,517243,4
27749,55909,62237,9893481,3230383,4
32835,63356,75896,487469,185660,4
41513,91702,103983,1812208,609377,4
38219,78756,94208,1065794,375855,4
45732,88202,105844,729543,257941,4
45732,88202,105844,729543,257941,4
45732,88202,105844,729543,257941,4
38219,78756,94208,1065794,375855,4
38219,78756,94208,1065794,375855,4
45732,88202,105844,729543,257941,4
45732,88202,105844,729543,257941,4
45732,88202,105844,729543,257941,4
45732,88202,105844,729543,257941,4
45732,88202,105844,729543,257941,4
45732,88202,105844,729543,257941,4
38219,78756,94208,1065794,375855,4
38219,78756,94208,1065794,375855,4
45732,88202,105844,729543,257941,4
38219,78756,94208,1065794,375855,4
38219,78756,94208,1065794,375855,4
38219,78756,94208,1065794,375855,4
38219,78756,94208,1065794,375855,4
38219,78756,94208,1065794,375855,4
38219,78756,94208,1065794,375855,4
38219,78756,94208,1065794,375855,4
38219,78756,94208,1065794,375855,4
38219,78756,94208,1065794,375855,4
38219,78756,94208,1065794,375855,4
38219,78756,94208,1065794,375855,4
38219,78756,94208,1065794,375855,4
38219,78756,94208,1065794,375855,4
38219,78756,94208,1065794,375855,4
23787,43752,55917,220542,84816,4
38219,78756,94208,1065794,375855,4
23787,43752,55917,220542,84816,4
45732,88202,105844,729543,257941,4
45732,88202,105844,729543,257941,4
48486,75604,90116,817501,345344,4
48486,75604,90116,817501,345344,4
48486,75604,90116,817501,345344,4
23591,56529,63378,2228528,683144,4
48486,75604,90116,817501,345344,4
48486,75604,90116,817501,345344,4
48486,75604,90116,817501,345344,4
48486,75604,90116,817501,345344,4
48486,75604,90116,817501,345344,4
48486,75604,90116,817501,345344,4
48486,75604,90116,817501,345344,4
48486,75604,90116,817501,345344,4
48486,75604,90116,817501,345344,4
48486,75604,90116,817501,345344,4
45732,88202,105844,729543,257941,4
48486,75604,90116,817501,345344,4
48486,75604,90116,817501,345344,4
48486,75604,90116,817501,345344,4
48486,75604,90116,817501,345344,4
48486,75604,90116,817501,345344,4
48486,75604,90116,817501,345344,4
48486,75604,90116,817501,345344,4
48486,75604,90116,817501,345344,4
45732,88202,105844,729543,257941,4
45732,88202,105844,729543,257941,4
23591,56529,63378,2228528,683144,4
38219,78756,94208,1065794,375855,4
38219,78756,94208,1065794,375855,4
38219,78756,94208,1065794,375855,4
45732,88202,105844,729543,257941,4
48486,75604,90116,817501,345344,4
48486,75604,90116,817501,345344,4
23787,43752,55917,220542,84816,4
23591,56529,63378,2228528,683144,4
41513,91702,103983,1812208,609377,4
41513,91702,103983,1812208,609377,4
41513,91702,103983,1812208,609377,4
41513,91702,103983,1812208,609377,4
41513,91702,103983,1812208,609377,4
41513,91702,103983,1812208,609377,4
41513,91702,103983,1812208,609377,4
41513,91702,103983,1812208,609377,4
41513,91702,103983,1812208,609377,4
23591,56529,63378,2228528,683144,4
41513,91702,103983,1812208,609377,4
41513,91702,103983,1812208,609377,4
41513,91702,103983,1812208,609377,4
41513,91702,103983,1812208,609377,4
41513,91702,103983,1812208,609377,4
23591,56529,63378,2228528,683144,4
16763,41807,45540,175201,48099,4
16763,41807,45540,175201,48099,4
23591,56529,63378,2228528,683144,4
24775,59168,63669,420569,125428,4
23602,50408,57129,94787,31725,4
23602,50408,57129,94787,31725,4
24775,59168,63669,420569,125428,4
24775,59168,63669,420569,125428,4
24775,59168,63669,420569,125428,4
24775,59168,63669,420569,125428,4
24775,59168,63669,420569,125428,4
24775,59168,63669,420569,125428,4
24775,59168,63669,420569,125428,4
24775,59168,63669,420569,125428,4
23591,56529,63378,2228528,683144,4
23787,43752,55917,220542,84816,4
41513,91702,103983,1812208,609377,4
41513,91702,103983,1812208,609377,4
23591,56529,63378,2228528,683144,4
