County,State,per capita income,median household income,median family income,population,number of households,x,y,Has Market,state_nums
"AR, Benton",Arkansas,26715,54515,61706,227439,82150,-94.445114,36.421982,1.0,3
"AR, Benton",Arkansas,26715,54515,61706,227439,82150,-94.145607,36.335808,1.0,3
"AR, Johnson",Arkansas,19366,31003,37119,25655,10046,0.0,0.0,0.0,3
"AR, Jefferson",Arkansas,19353,37140,48562,75782,28367,-92.004295,34.231049,1.0,3
"AR, Dallas",Arkansas,16838,28931,39681,8045,3269,0.0,0.0,0.0,3
"CA, Orange",California,34057,75422,84765,3051771,995512,-117.91232,33.83231,1.0,4
"CA, Orange",California,34057,75422,84765,3051771,995512,-117.86917,33.746284,1.0,4
"CA, Orange",California,34057,75422,84765,3051771,995512,-117.91545,33.833931,1.0,4
"CA, Orange",California,34057,75422,84765,3051771,995512,-117.83134,33.633186,1.0,4
"CA, Orange",California,34057,75422,84765,3051771,995512,-117.70828,33.568867,1.0,4
"CA, Orange",California,34057,75422,84765,3051771,995512,-117.78168,33.544918,1.0,4
"CA, Orange",California,34057,75422,84765,3051771,995512,-117.92864,33.60828,1.0,4
"CA, Orange",California,34057,75422,84765,3051771,995512,-117.70487,33.608952,1.0,4
"CA, Orange",California,34057,75422,84765,3051771,995512,-117.75877,33.79871,1.0,4
"CA, Orange",California,34057,75422,84765,3051771,995512,-118.00198,33.657181,1.0,4
"CA, Orange",California,34057,75422,84765,3051771,995512,-117.84482,33.852657,1.0,4
"CA, Amador",California,27347,53684,68593,37422,14262,-120.7741,38.348801,1.0,4
"CA, Orange",California,34057,75422,84765,3051771,995512,-117.85635,33.791508,1.0,4
"CA, Yolo",California,27730,55918,74687,202288,70347,-121.79305,38.663685,1.0,4
"CA, Merced",California,18177,42591,47456,258707,75409,-120.48443,37.30093,1.0,4
"CA, Merced",California,18177,42591,47456,258707,75409,-120.84604,37.056793,1.0,4
"CA, Merced",California,18177,42591,47456,258707,75409,-120.48045,37.290615,1.0,4
"CA, Merced",California,18177,42591,47456,258707,75409,-120.6299,37.35376,1.0,4
"CA, San Joaquin",California,22589,53380,59900,693177,215563,-121.35947,37.97880900000001,1.0,4
"CA, San Joaquin",California,22589,53380,59900,693177,215563,-121.28723,37.950863,1.0,4
"CA, San Joaquin",California,22589,53380,59900,693177,215563,-121.42689,37.73832700000001,1.0,4
"CA, San Joaquin",California,22589,53380,59900,693177,215563,-121.21985,37.797741,1.0,4
"CA, San Joaquin",California,22589,53380,59900,693177,215563,-121.374,38.057098,1.0,4
"CA, Ventura",California,32930,76544,86301,829017,267076,-119.04131,34.216537,1.0,4
